@relation 'parsejson'
@attribute probe_id numeric
% dsfail.py
@attribute dsfail_rt numeric
@attribute dsfail_size numeric
@attribute dsfail_flags numeric %% header bit flags (decimal)
@attribute dsfail_rcode numeric %% response code
@attribute dsfail_qcount numeric %% query count
@attribute dsfail_acount numeric %% answer count
@attribute dsfail_nscount numeric %% authority count
@attribute dsfail_arcount numeric %% additional count
@attribute dsfail_rdata string %% rdata of first reply
% nxdomain.py
@attribute nxd_rt numeric %% response time
@attribute nxd_size numeric %% response size
@attribute nxd_rcode numeric %% response code
% dnskey.py
@attribute dnskey_rt numeric    %% response time
@attribute dnskey_size numeric  %% response size
@attribute dnskey_flags numeric %% header bit flags (decimal)
@attribute dnskey_rcode numeric %% response code
% nsid.py
@attribute nsid_rt numeric    %% response time
@attribute nsid_flags numeric %% header bit flags (decimal)
@attribute nsid_rcode numeric %% response code
% chaos.py
@attribute chaos1_rt numeric % response time
@attribute chaos1_size numeric % response size
@attribute chaos1_rcode numeric % response code
@attribute chaos1_version_bind numeric % request field
@attribute chaos1_version_hostname numeric % request field
@attribute chaos1_resp string % response string
% chaos.py
@attribute chaos2_rt numeric % response time
@attribute chaos2_size numeric % response size
@attribute chaos2_rcode numeric % response code
@attribute chaos2_version_bind numeric % request field
@attribute chaos2_version_hostname numeric % request field
@attribute chaos2_resp string % response string
% whoami.py
@attribute whoami_rt numeric %% response time
@attribute whoami_ip string %% resolver ip address
@attribute whoami_asn numeric %% resolver asn
% ipv6.py
@attribute ipv6_rt numeric %% response time
@attribute ipv6_size numeric %% response size
@attribute ipv6_rcode numeric %% response code
% class
@attribute ok {1,0}
@data
51,610.688,39,33154,2,1,0,0,0,N/A,214.55,105,3,208.793,31,33664,0,227.856,33152,0,201.074,30,2,1,0,N/A,214.194,42,2,0,1,N/A,209.434,173.194.91.88,15169,404.718,74,0,1
52,382.832,39,33154,2,1,0,0,0,N/A,89.341,105,3,90.551,31,33664,0,66.274,33152,0,95.846,30,2,1,0,N/A,96.577,42,2,0,1,N/A,83.843,173.194.98.2,15169,97.572,74,0,1
55,305.434,39,33154,2,1,0,0,0,N/A,76.5,105,3,75.268,31,33664,0,84.621,33152,0,61.973,30,2,1,0,N/A,75.67,42,2,0,1,N/A,69.095,74.125.73.65,15169,76.205,74,0,1
56,344.735,39,33154,2,1,0,0,0,N/A,106.505,105,3,123.75,31,33664,0,94.214,33152,0,84.286,30,2,1,0,N/A,96.571,42,2,0,1,N/A,86.213,173.194.169.76,15169,86.856,74,0,1
57,278.177,39,33154,2,1,0,0,0,N/A,63.544,105,3,66.036,31,33664,0,73.965,33152,0,56.545,30,2,1,0,N/A,75.358,42,2,0,1,N/A,69.572,173.194.170.13,15169,86.71,74,0,1
59,351.547,39,33154,2,1,0,0,0,N/A,77.931,105,3,78.712,31,33664,0,88.752,33152,0,69.208,30,2,1,0,N/A,90.658,42,2,0,1,N/A,72.234,74.125.73.89,15169,79.051,74,0,1
60,287.739,39,33154,2,1,0,0,0,N/A,87.717,105,3,86.173,31,33664,0,135.668,33152,0,75.627,30,2,1,0,N/A,79.343,42,2,0,1,N/A,81.725,173.194.169.76,15169,70.589,74,0,1
63,287.484,39,33154,2,1,0,0,0,N/A,71.409,105,3,84.522,31,33664,0,77.076,33152,0,69.259,30,2,1,0,N/A,77.921,42,2,0,1,N/A,79.757,173.194.170.13,15169,76.488,74,0,1
65,291.997,39,33154,2,1,0,0,0,N/A,69.928,105,3,71.202,31,33664,0,82.909,33152,0,62.243,30,2,1,0,N/A,78.781,42,2,0,1,N/A,71.015,74.125.47.4,15169,75.968,74,0,1
66,348.194,39,33154,2,1,0,0,0,N/A,61.025,105,3,64.122,31,33664,0,74.974,33152,0,69.826,30,2,1,0,N/A,68.221,42,2,0,1,N/A,56.155,74.125.73.69,15169,61.493,74,0,1
67,297.34,39,33154,2,1,0,0,0,N/A,74.948,105,3,77.367,31,33664,0,129.903,33152,0,61.551,30,2,1,0,N/A,81.036,42,2,0,1,N/A,73.695,173.194.170.13,15169,77.242,74,0,1
69,458.881,39,33154,2,1,0,0,0,N/A,90.462,105,3,76.02,31,33664,0,91.954,33152,0,74.907,30,2,1,0,N/A,86.314,42,2,0,1,N/A,73.428,74.125.46.3,15169,73.207,74,0,1
71,295.007,39,33154,2,1,0,0,0,N/A,64.01,105,3,71.955,31,33664,0,72.218,33152,0,56.559,30,2,1,0,N/A,80.805,42,2,0,1,N/A,84.771,173.194.169.76,15169,63.801,74,0,1
75,219.491,39,33154,2,1,0,0,0,N/A,92.281,105,3,153.914,31,33664,0,99.461,33152,0,85.62,30,2,1,0,N/A,103.938,42,2,0,1,N/A,93.709,74.125.19.10,15169,111.229,74,0,1
78,133.47,39,33154,2,1,0,0,0,N/A,101.726,105,3,95.541,31,33664,0,95.558,33152,0,79.637,30,2,1,0,N/A,96.035,42,2,0,1,N/A,84.69,74.125.76.4,15169,86.494,74,0,1
81,320.432,39,33154,2,1,0,0,0,N/A,70.84,105,3,72.704,31,33664,0,88.411,33152,0,73.86,30,2,1,0,N/A,79.657,42,2,0,1,N/A,86.41,74.125.47.9,15169,72.605,74,0,1
86,374.313,39,33154,2,1,0,0,0,N/A,108.072,105,3,86.898,31,33664,0,112.521,33152,0,79.632,30,2,1,0,N/A,121.174,42,2,0,1,N/A,104.973,74.125.72.147,15169,110.416,74,0,1
88,472.571,39,33154,2,1,0,0,0,N/A,66.09,105,3,68.698,31,33664,0,95.559,33152,0,82.435,30,2,1,0,N/A,156.714,42,2,0,1,N/A,64.521,74.125.46.6,15169,79.052,74,0,1
92,291.866,39,33154,2,1,0,0,0,N/A,61.413,105,3,62.415,31,33664,0,74.187,33152,0,54.599,30,2,1,0,N/A,68.39,42,2,0,1,N/A,56.158,173.194.170.13,15169,91.381,74,0,1
93,524.944,39,33154,2,1,0,0,0,N/A,223.93,105,3,211.407,31,33664,0,243.683,33152,0,81.453,30,2,1,0,N/A,89.027,42,2,0,1,N/A,106.515,173.194.171.7,15169,221.375,74,0,1
94,182.269,39,33154,2,1,0,0,0,N/A,69.712,105,3,70.1,31,33664,0,80.704,33152,0,62.339,30,2,1,0,N/A,79.311,42,2,0,1,N/A,63.475,173.194.170.13,15169,68.879,74,0,1
95,285.599,39,33154,2,1,0,0,0,N/A,91.059,105,3,91.114,31,33664,0,98.353,33152,0,93.094,30,2,1,0,N/A,89.41,42,2,0,1,N/A,78.836,74.125.181.1,15169,88.139,74,0,1
97,193.994,39,33154,2,1,0,0,0,N/A,92.979,105,3,90.739,31,33664,0,139.174,33152,0,78.562,30,2,1,0,N/A,84.696,42,2,0,1,N/A,87.073,173.194.90.10,15169,99.748,74,0,1
99,230.058,39,33154,2,1,0,0,0,N/A,124.573,105,3,125.493,31,33664,0,133.324,33152,0,137.585,30,2,1,0,N/A,131.634,42,2,0,1,N/A,118.693,173.194.170.13,15169,123.503,74,0,1
100,197.328,39,33154,2,1,0,0,0,N/A,128.19,105,3,108.641,31,33664,0,132.68,33152,0,101.429,30,2,1,0,N/A,116.331,42,2,0,1,N/A,101.302,74.125.42.139,15169,218.16,74,0,1
102,248.005,39,33154,2,1,0,0,0,N/A,61.525,105,3,68.682,31,33664,0,77.689,33152,0,54.646,30,2,1,0,N/A,67.913,42,2,0,1,N/A,63.057,74.125.47.5,15169,68.001,74,0,1
105,593.617,39,33154,2,1,0,0,0,N/A,85.367,105,3,78.624,31,33664,0,92.927,33152,0,72.225,30,2,1,0,N/A,87.643,42,2,0,1,N/A,73.523,74.125.47.5,15169,85.619,74,0,1
107,259.812,39,33154,2,1,0,0,0,N/A,62.349,105,3,63.865,31,33664,0,72.301,33152,0,55.71,30,2,1,0,N/A,69.936,42,2,0,1,N/A,57.779,173.194.170.13,15169,62.094,74,0,1
110,184.633,39,33154,2,1,0,0,0,N/A,89.351,105,3,90.01,31,33664,0,92.151,33152,0,78.01,30,2,1,0,N/A,93.54,42,2,0,1,N/A,84.17,173.194.169.76,15169,83.742,74,0,1
115,335.83,39,33154,2,1,0,0,0,N/A,118.757,105,3,121.031,31,33664,0,108.364,33152,0,247.107,30,2,1,0,N/A,185.279,42,2,0,1,N/A,68.551,74.125.46.6,15169,71.568,74,0,1
116,257.652,39,33154,2,1,0,0,0,N/A,75.446,105,3,76.514,31,33664,0,80.754,33152,0,66.699,30,2,1,0,N/A,80.752,42,2,0,1,N/A,69.583,173.194.170.13,15169,73.568,74,0,1
121,227.835,39,33154,2,1,0,0,0,N/A,99.817,105,3,69.051,31,33664,0,107.111,33152,0,71.817,30,2,1,0,N/A,75.029,42,2,0,1,N/A,64.595,74.125.46.6,15169,88.349,74,0,1
122,353.744,39,33154,2,1,0,0,0,N/A,89.477,105,3,63.676,31,33664,0,81.921,33152,0,54,30,2,1,0,N/A,68.426,42,2,0,1,N/A,56.507,74.125.181.208,15169,70.711,74,0,1
126,362.573,39,33154,2,1,0,0,0,N/A,105.628,105,3,103.005,31,33664,0,117.524,33152,0,94.597,30,2,1,0,N/A,112.564,42,2,0,1,N/A,223.333,74.125.46.6,15169,184.973,74,0,1
127,335.016,39,33154,2,1,0,0,0,N/A,78.884,105,3,81.275,31,33664,0,79.013,33152,0,54.99,30,2,1,0,N/A,76.26,42,2,0,1,N/A,73.52,74.125.181.14,15169,62.085,74,0,1
131,351.352,39,33154,2,1,0,0,0,N/A,76.957,105,3,83.844,31,33664,0,145.959,33152,0,53.705,30,2,1,0,N/A,67.652,42,2,0,1,N/A,71.189,74.125.72.147,15169,214.052,74,0,1
133,299.826,39,33154,2,1,0,0,0,N/A,99.352,105,3,107.826,31,33664,0,111.469,33152,0,113.798,30,2,1,0,N/A,105.191,42,2,0,1,N/A,96.963,74.125.47.154,15169,101.679,74,0,1
137,281.626,39,33154,2,1,0,0,0,N/A,70.565,105,3,71.975,31,33664,0,78.627,33152,0,62.726,30,2,1,0,N/A,77.719,42,2,0,1,N/A,73.719,74.125.181.12,15169,234.88,74,0,1
138,654.061,39,33154,2,1,0,0,0,N/A,92.168,105,3,90.391,31,33664,0,114.104,33152,0,82.062,30,2,1,0,N/A,95.933,42,2,0,1,N/A,78.51,173.194.169.76,15169,88.28,74,0,1
140,335.983,39,33154,2,1,0,0,0,N/A,71.366,105,3,78.307,31,33664,0,479.88,33152,0,54.109,30,2,1,0,N/A,117.309,42,2,0,1,N/A,65.764,74.125.46.6,15169,67.772,74,0,1
141,340.668,39,33154,2,1,0,0,0,N/A,70.479,105,3,86.546,31,33664,0,89.822,33152,0,59.811,30,2,1,0,N/A,73.882,42,2,0,1,N/A,77.472,173.194.170.13,15169,66.356,74,0,1
142,307.971,39,33154,2,1,0,0,0,N/A,66.645,105,3,73.195,31,33664,0,79.917,33152,0,65.123,30,2,1,0,N/A,77.957,42,2,0,1,N/A,65.861,74.125.47.8,15169,69.575,74,0,1
143,299.595,39,33154,2,1,0,0,0,N/A,61.213,105,3,62.223,31,33664,0,80.266,33152,0,58.429,30,2,1,0,N/A,68.072,42,2,0,1,N/A,56.033,74.125.181.211,15169,60.075,74,0,1
144,354.281,39,33154,2,1,0,0,0,N/A,107.55,105,3,93.527,31,33664,0,92.471,33152,0,85.694,30,2,1,0,N/A,99.222,42,2,0,1,N/A,78.096,74.125.47.5,15169,85.524,74,0,1
145,386.898,39,33154,2,1,0,0,0,N/A,79.636,105,3,73.961,31,33664,0,86.73,33152,0,65.693,30,2,1,0,N/A,79.802,42,2,0,1,N/A,73.761,173.194.98.2,15169,75.836,74,0,1
146,350.806,39,33154,2,1,0,0,0,N/A,74.89,105,3,77.253,31,33664,0,148.374,33152,0,65.107,30,2,1,0,N/A,88.315,42,2,0,1,N/A,125.437,74.125.183.200,15169,119.023,74,0,1
148,335.865,39,33154,2,1,0,0,0,N/A,71.321,105,3,72.537,31,33664,0,80.25,33152,0,54.247,30,2,1,0,N/A,68.39,42,2,0,1,N/A,66.493,74.125.181.14,15169,60.224,74,0,1
149,331.798,39,33154,2,1,0,0,0,N/A,114.715,105,3,101.791,31,33664,0,107.633,33152,0,92.226,30,2,1,0,N/A,106.468,42,2,0,1,N/A,95.259,74.125.181.7,15169,98.085,74,0,1
150,353.603,39,33154,2,1,0,0,0,N/A,87.966,105,3,89.033,31,33664,0,108.291,33152,0,80.721,30,2,1,0,N/A,96.448,42,2,0,1,N/A,81.853,74.125.181.7,15169,86.063,74,0,1
153,437.643,39,33154,2,1,0,0,0,N/A,77.29,105,3,131.002,31,33664,0,92.907,33152,0,60.687,30,2,1,0,N/A,144.324,42,2,0,1,N/A,63.027,173.194.98.2,15169,88.669,74,0,1
154,353.225,39,33154,2,1,0,0,0,N/A,68.25,105,3,66.29,31,33664,0,69.731,33152,0,58.793,30,2,1,0,N/A,67.874,42,2,0,1,N/A,60.949,74.125.46.6,15169,59.99,74,0,1
158,160.749,39,33154,2,1,0,0,0,N/A,60.946,105,3,94.287,31,33664,0,96.157,33152,0,54.128,30,2,1,0,N/A,77.206,42,2,0,1,N/A,103.845,74.125.73.89,15169,75.939,74,0,1
162,377.518,39,33154,2,1,0,0,0,N/A,78.155,105,3,76.254,31,33664,0,69.172,33152,0,53.954,30,2,1,0,N/A,68.152,42,2,0,1,N/A,67.473,173.194.98.2,15169,71.856,74,0,1
165,367.354,39,33154,2,1,0,0,0,N/A,77.425,105,3,104.818,31,33664,0,105.565,33152,0,75.081,30,2,1,0,N/A,88.523,42,2,0,1,N/A,89.005,173.194.98.2,15169,97.568,74,0,1
169,357.023,39,33154,2,1,0,0,0,N/A,71.452,105,3,72.898,31,33664,0,126.799,33152,0,65.292,30,2,1,0,N/A,76.755,42,2,0,1,N/A,66.222,173.194.98.2,15169,67.544,74,0,1
175,314.041,39,33154,2,1,0,0,0,N/A,79.129,105,3,63.915,31,33664,0,104.433,33152,0,63.493,30,2,1,0,N/A,70.142,42,2,0,1,N/A,57.486,74.125.181.193,15169,77.137,74,0,1
189,205.157,39,33154,2,1,0,0,0,N/A,103.034,105,3,92.736,31,33664,0,100.855,33152,0,84.154,30,2,1,0,N/A,98.596,42,2,0,1,N/A,89.216,74.125.47.9,15169,90.606,74,0,1
190,115.838,39,33154,2,1,0,0,0,N/A,96.431,105,3,90.325,31,33664,0,99.766,33152,0,64.895,30,2,1,0,N/A,78.752,42,2,0,1,N/A,85.228,74.125.19.14,15169,110.869,74,0,1
191,183.218,39,33154,2,1,0,0,0,N/A,70.562,105,3,71.937,31,33664,0,76.59,33152,0,66.516,30,2,1,0,N/A,86.787,42,2,0,1,N/A,64.315,173.194.170.13,15169,72.414,74,0,1
193,437.596,39,33154,2,1,0,0,0,N/A,133.854,105,3,112.424,31,33664,0,139.937,33152,0,105.24,30,2,1,0,N/A,119.64,42,2,0,1,N/A,103.776,173.194.98.2,15169,130.035,74,0,1
194,80.089,39,33154,2,1,0,0,0,N/A,80.946,105,3,67.998,31,33664,0,92.711,33152,0,58.214,30,2,1,0,N/A,117.029,42,2,0,1,N/A,75.225,173.194.170.13,15169,63.177,74,0,1
197,295.063,39,33154,2,1,0,0,0,N/A,103.781,105,3,96.515,31,33664,0,86.125,33152,0,71.267,30,2,1,0,N/A,99.63,42,2,0,1,N/A,78.379,74.125.47.135,15169,93.466,74,0,1
203,626.132,39,33154,2,1,0,0,0,N/A,202.016,105,3,201.745,31,33664,0,224.426,33152,0,75.96,30,2,1,0,N/A,81.579,42,2,0,1,N/A,194.058,74.125.41.70,15169,209.67,74,0,1
204,272.503,39,33154,2,1,0,0,0,N/A,91.747,105,3,81.858,31,33664,0,90.751,33152,0,75.557,30,2,1,0,N/A,88.752,42,2,0,1,N/A,77.145,74.125.73.65,15169,82.124,74,0,1
205,69.567,39,33154,2,1,0,0,0,N/A,61.657,105,3,76.212,31,33664,0,120.743,33152,0,54.334,30,2,1,0,N/A,76.203,42,2,0,1,N/A,74.346,173.194.169.76,15169,63.716,74,0,1
206,78.957,39,33154,2,1,0,0,0,N/A,73.607,105,3,73.981,31,33664,0,92.955,33152,0,77.025,30,2,1,0,N/A,87.941,42,2,0,1,N/A,79.578,74.125.181.7,15169,80.699,74,0,1
211,297.354,39,33154,2,1,0,0,0,N/A,81.137,105,3,81.431,31,33664,0,88.836,33152,0,70.469,30,2,1,0,N/A,89.596,42,2,0,1,N/A,77.096,74.125.47.150,15169,80.705,74,0,1
214,294.268,39,33154,2,1,0,0,0,N/A,94.037,105,3,94.671,31,33664,0,101.433,33152,0,78.146,30,2,1,0,N/A,93.133,42,2,0,1,N/A,88.678,74.125.73.65,15169,92.269,74,0,1
218,318.78,39,33154,2,1,0,0,0,N/A,61.174,105,3,63.6,31,33664,0,87.417,33152,0,53.907,30,2,1,0,N/A,69.181,42,2,0,1,N/A,60.55,74.125.47.141,15169,60.827,74,0,1
223,161.014,39,33154,2,1,0,0,0,N/A,84.671,105,3,84.7,31,33664,0,92.145,33152,0,53.827,30,2,1,0,N/A,67.524,42,2,0,1,N/A,79.533,173.194.90.10,15169,189.325,74,0,1
224,482.922,39,33154,2,1,0,0,0,N/A,77.931,105,3,74.541,31,33664,0,86.508,33152,0,54.125,30,2,1,0,N/A,91.198,42,2,0,1,N/A,66.639,173.194.98.2,15169,80.807,74,0,1
234,440.2,39,33154,2,1,0,0,0,N/A,119.37,105,3,96.708,31,33664,0,99.829,33152,0,54.23,30,2,1,0,N/A,68.181,42,2,0,1,N/A,55.973,173.194.171.13,15169,90.255,74,0,1
237,168.975,39,33154,2,1,0,0,0,N/A,61.234,105,3,62.647,31,33664,0,68.48,33152,0,63.832,30,2,1,0,N/A,78.406,42,2,0,1,N/A,117.346,173.194.169.76,15169,85.635,74,0,1
241,1119.43,39,33154,2,1,0,0,0,N/A,88.544,105,3,71.746,31,33664,0,110.701,33152,0,94.42,30,2,1,0,N/A,107.952,42,2,0,1,N/A,68.417,74.125.46.6,15169,88.043,74,0,1
242,420.904,39,33154,2,1,0,0,0,N/A,269.007,105,3,108.52,31,33664,0,278.735,33152,0,100.396,30,2,1,0,N/A,113.076,42,2,0,1,N/A,102.616,74.125.47.154,15169,270.253,74,0,1
243,652.243,39,33154,2,1,0,0,0,N/A,76.567,105,3,98.931,31,33664,0,90.826,33152,0,68.973,30,2,1,0,N/A,86.028,42,2,0,1,N/A,94.661,173.194.91.88,15169,98.802,74,0,1
246,266.864,39,33154,2,1,0,0,0,N/A,68.056,105,3,90.189,31,33664,0,80.76,33152,0,58.929,30,2,1,0,N/A,73.791,42,2,0,1,N/A,62.839,173.194.170.13,15169,64.968,74,0,1
248,260.91,39,33154,2,1,0,0,0,N/A,82.303,105,3,78.31,31,33664,0,86.405,33152,0,74.376,30,2,1,0,N/A,92.595,42,2,0,1,N/A,84.941,74.125.73.65,15169,133.109,74,0,1
257,263.274,39,33154,2,1,0,0,0,N/A,73.006,105,3,73.852,31,33664,0,81.455,33152,0,66.444,30,2,1,0,N/A,80.104,42,2,0,1,N/A,115.059,173.194.169.76,15169,124.526,74,0,1
266,322.799,39,33154,2,1,0,0,0,N/A,72.818,105,3,68.312,31,33664,0,80.704,33152,0,66.547,30,2,1,0,N/A,80.031,42,2,0,1,N/A,67.897,74.125.181.12,15169,71.763,74,0,1
267,316.762,39,33154,2,1,0,0,0,N/A,66.443,105,3,66.768,31,33664,0,74.52,33152,0,109.634,30,2,1,0,N/A,73.186,42,2,0,1,N/A,59.75,74.125.181.193,15169,70.214,74,0,1
